threshold,precision,recall,f1,auprc,true_negatives,false_positives,false_negatives,true_positives
0.3,0.8804347826086957,0.8617021276595744,0.8709677419354839,0.8838308891686253,56640,11,13,81
0.31,0.8804347826086957,0.8617021276595744,0.8709677419354839,0.8838308891686253,56640,11,13,81
0.32,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.33,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.34,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.35000000000000003,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.36000000000000004,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.37,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.38,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.39,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.4,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.41000000000000003,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.42000000000000004,0.8901098901098901,0.8617021276595744,0.8756756756756757,0.8838308891686253,56641,10,13,81
0.43,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.44,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.45,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.46,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.47000000000000003,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.48000000000000004,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.49,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.5,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.51,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.52,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.53,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.54,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.55,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.56,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.5700000000000001,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.5800000000000001,0.9,0.8617021276595744,0.8804347826086957,0.8838308891686253,56642,9,13,81
0.59,0.898876404494382,0.851063829787234,0.8743169398907104,0.8838308891686253,56642,9,14,80
0.6,0.898876404494382,0.851063829787234,0.8743169398907104,0.8838308891686253,56642,9,14,80
0.61,0.898876404494382,0.851063829787234,0.8743169398907104,0.8838308891686253,56642,9,14,80
0.62,0.898876404494382,0.851063829787234,0.8743169398907104,0.8838308891686253,56642,9,14,80
0.63,0.898876404494382,0.851063829787234,0.8743169398907104,0.8838308891686253,56642,9,14,80
0.64,0.8977272727272727,0.8404255319148937,0.8681318681318682,0.8838308891686253,56642,9,15,79
0.65,0.8977272727272727,0.8404255319148937,0.8681318681318682,0.8838308891686253,56642,9,15,79
0.66,0.8977272727272727,0.8404255319148937,0.8681318681318682,0.8838308891686253,56642,9,15,79
0.67,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.68,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.6900000000000001,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.7000000000000001,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.7100000000000001,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.72,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.73,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.74,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.75,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.76,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.77,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.78,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.79,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.8,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
0.81,0.9080459770114943,0.8404255319148937,0.8729281767955801,0.8838308891686253,56643,8,15,79
