model,recall,precision,f1,auprc
xgboost,0.8164160401002507,0.8943473955238661,0.8527222767321778,0.845510178270844
lightgbm,0.805952380952381,0.914953242835596,0.8565580111127806,0.8273175679162155
class_weighted_random_forest,0.7038847117794487,0.938677455441864,0.8035869678528436,0.8271324312376519
class_weighted_logistic,0.9044486215538846,0.05332520629712843,0.1006340374899164,0.7386208548865183
smote_logistic,0.8550751879699249,0.3760805837328223,0.52149103103621,0.7359188943448869
undersampled_logistic,0.862155388471178,0.28562064451487534,0.4281666877253751,0.7005101190377978
